Name,Id,Description,Level,Power,BaseIntensity,Variance,BaseMana,BaseRangeConstant,BaseRangeMod,Boost,BoostVariance,MaxBoost,Category,ComponentLoss,CritFrequency,CritMultiplier,DamageRatio,DamageType,Destination,DotDuration,Duration,ElementalModifier,GetDamagePerTick,GetNumTicks,IconID,IsBeneficial,IsFellowshipSpell,IsHarmful,IsImpenBaneType,IsNegativeRedirectable,IsOtherNegativeRedirectable,IsPortalSpell,IsProjectile,IsResistable,IsSelfTargeted,IsTracking,LossPercent,MinDamage,MaxDamage,DispelSchool,Number,NumberVariance,MinPower,MaxPower,PowerVariance,MetaSpellType,NonComponentTargetType,NotFound,NumProjectiles,NumProjectilesVariance,PortalLifetime,Position,PowerMod,Proportion,RecoveryAmount,RecoveryInterval,School,SlayerCreatureType,SlayerDamageBonus,Source,SourceLoss,SpellEconomyMod,SpreadAngle,StatModKey,StatModType,StatModVal,TargetEffect,FizzleEffect,CasterEffect,TransferCap,TransferFlags,UpdatesMaxVitals,UpdatesRunRate,VitalDamageType,Wcid,WeenieClassId
Invulnerability Other I,17,Increases the target's Melee Defense skill by 10 points.,1,1,0,0,10,5,1,0,0,0,MeleeDefenseRaising,0.01,0,1,1,Undef,Undef,0,1800,1,0,0,100668331,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",10,SkillUpYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Invulnerability Self I,18,Increases the caster's Melee Defense skill by 10 points.,1,1,0,0,15,0,0,0,0,0,MeleeDefenseRaising,0,0,1,1,Undef,Undef,0,1800,1,0,0,100668331,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",10,SkillUpYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Fire Protection Other I,19,Reduces damage the target takes from fire by 9%.,1,1,0,0,10,5,1,0,0,0,FireProtection,0.01,0,1,1,Undef,Undef,0,1800,1,0,0,100668291,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,LifeMagic,Invalid,0,Undef,0,0,0,67,"Float, SingleStat, Multiplicative",0.91,ShieldUpRed,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Fire Protection Self I,20,Reduces damage the caster takes from Fire by 9%.,1,1,0,0,15,0,0,0,0,0,FireProtection,0.01,0,1,1,Undef,Undef,0,1800,1,0,0,100668291,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,LifeMagic,Invalid,0,Undef,0,0,0,67,"Float, SingleStat, Multiplicative",0.91,ShieldUpRed,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Fire Vulnerability Other I,21,Increases damage the target takes from Fire by 10%.,1,25,0,0,10,5,1,0,0,0,FireVulnerability,0.01,0,1,1,Undef,Undef,0,60,1,0,0,100668291,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,67,"Float, SingleStat, Multiplicative",1.1,ShieldDownRed,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,60
Fire Vulnerability Self I,22,Increases damage the caster takes from Fire by 10%.,1,25,0,0,15,0,0,0,0,0,FireVulnerability,0.01,0,1,1,Undef,Undef,0,60,1,0,0,100668291,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,67,"Float, SingleStat, Multiplicative",1.1,ShieldDownRed,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,60
Armor Other I,23,Increases the target's natural armor by 20 points.,1,1,0,0,10,5,1,0,0,0,ArmorRaising,0.01,0,1,1,Undef,Undef,0,1800,1,0,0,100668293,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,0,"BodyArmorValue, MultipleStat, Additive",20,ShieldUpGrey,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Armor Self I,24,Increases the caster's natural armor by 20 points.,1,1,0,0,15,0,0,0,0,0,ArmorRaising,0,0,1,1,Undef,Undef,0,1800,1,0,0,100668293,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,0,"BodyArmorValue, MultipleStat, Additive",20,ShieldUpGrey,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Imperil Other I,25,Decreases the target's natural armor by 20 points.,1,25,0,0,10,5,1,0,0,0,ArmorLowering,0.01,0,1,1,Undef,Undef,0,60,1,0,0,100668293,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,0,"BodyArmorValue, MultipleStat, Additive",-20,ShieldDownGrey,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,60
Imperil Self I,26,Decreases the caster's natural armor by 20 points.,1,25,0,0,20,0,0,0,0,0,ArmorLowering,0.01,0,1,1,Undef,Undef,0,60,1,0,0,100668293,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,0,"BodyArmorValue, MultipleStat, Additive",-20,ShieldDownGrey,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,60
Flame Bolt I,27,Shoots a bolt of flame at the target.  The bolt does 16-31 points of fire damage to the first thing it hits.,1,1,16,15,5,30,0.7,0,0,0,FireMissile,0,0,0,1,Fire,Undef,0,0,1,0,0,100668276,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,16,31,None,0,0,0,0,0,Projectile,Creature,FALSE,1,0,0,00000001 [0 0 0],25,1,0,0,WarMagic,Invalid,1,Undef,0,1,0,0,Undef,0,Invalid,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,1499,0
Frost Bolt I,28,Shoots a bolt of frost at the target. The bolt does 16-31 points of cold damage to the first thing it hits.,1,1,16,15,5,30,0.7,0,0,0,ColdMissile,0.01,0,0,1,Cold,Undef,0,0,1,0,0,100668281,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,16,31,None,0,0,0,0,0,Projectile,Creature,FALSE,1,0,0,00000001 [0 0 0],25,1,0,0,WarMagic,Invalid,1,Undef,0,1,0,0,Undef,0,Invalid,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,1503,0
Aura of Blood Drinker Self I,35,Increases a weapon's damage value by 2 points.,1,1,0,0,10,25,0,0,0,0,DamageRaising,0,0,1,1,Undef,Undef,0,1800,1,0,0,100673986,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,ItemEnchantment,Invalid,0,Undef,0,1,0,360,"Int, SingleStat, Additive, Beneficial",2,EnchantUpRed,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Blood Loather I,36,Decreases a weapon's damage value by 2 points.,1,25,0,0,10,25,0,0,0,0,DamageLowering,0.05,0,1,1,Undef,Undef,0,60,1,0,0,100673987,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Weapon,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,ItemEnchantment,Invalid,0,Undef,0,1,0,44,"Int, SingleStat, Additive",-2,EnchantDownRed,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,60
Blade Bane I,37,Increases a shield or piece of armor's resistance to slashing damage by 10%. Target yourself to cast this spell on all of your equipped armor.,1,1,0,0,10,25,0,0,0,0,SlashResistanceRaising,0.01,0,1,1,Undef,Undef,0,1800,1,0,0,100673872,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Vestements,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,ItemEnchantment,Invalid,0,Undef,0,1,0,13,"Float, SingleStat, Additive",0.111,EnchantUpYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Blade Lure I,38,Decreases a shield or piece of armor's resistance to slashing damage by 10%.,1,25,0,0,10,25,0,0,0,0,SlashResistanceLowering,0.01,0,1,1,Undef,Undef,0,60,1,0,0,100673980,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Vestements,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,ItemEnchantment,Invalid,0,Undef,0,1,0,13,"Float, SingleStat, Additive",-0.111,EnchantDownYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,60
Primary Portal Tie,47,Links the caster to a targeted portal.,4,150,0,0,50,30,0,0,0,0,PortalTie,0.25,0,1,1,Undef,Undef,0,0,1,0,0,100672865,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,PortalLink,Portal,FALSE,0,0,0,00000001 [0 0 0],150,1,0,0,ItemEnchantment,Invalid,0,Undef,0,1,0,0,Undef,0,AttribDownPurple,Invalid,AttribUpPurple,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,0
Primary Portal Recall,48,Transports the caster to the destination of the portal last successfully linked to with Primary Portal Tie.,3,100,0,0,50,0,0,0,0,0,PortalRecall,0.25,0,1,1,Undef,Undef,0,0,1,0,0,100672857,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,PortalRecall,Portal,FALSE,0,0,0,00000001 [0 0 0],100,1,0,0,ItemEnchantment,Invalid,0,Undef,0,1,0,0,Undef,0,Invalid,Invalid,AttribUpPurple,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,0
Aura of Swift Killer Self I,49,Improves a weapon's speed by 10 points.,1,1,0,0,10,25,0,0,0,0,WeaponTimeRaising,0,0,1,1,Undef,Undef,0,1800,1,0,0,100673991,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,ItemEnchantment,Invalid,0,Undef,0,1,0,361,"Int, SingleStat, Additive, Beneficial",-10,EnchantUpGreen,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Leaden Weapon I,50,Worsens a weapon's speed by 10 points.,1,25,0,0,10,25,0,0,0,0,WeaponTimeLowering,0.01,0,1,1,Undef,Undef,0,60,1,0,0,100673990,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Weapon,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,ItemEnchantment,Invalid,0,Undef,0,1,0,49,"Int, SingleStat, Additive",10,EnchantDownGreen,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,60
Impenetrability I,51,Improves a shield or piece of armor's armor value by 20 points. Target yourself to cast this spell on all of your equipped armor.,1,1,0,0,10,25,0,0,0,0,ArmorValueRaising,0,0,1,1,Undef,Undef,0,1800,1,0,0,100673982,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Vestements,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,ItemEnchantment,Invalid,0,Undef,0,1,0,28,"Int, SingleStat, Additive",20,EnchantUpWhite,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Rejuvenation Other I,53,Increases the rate at which the target regains Stamina by 10%.,1,1,0,0,10,5,1,0,0,0,StaminaAccelerating,0,0,1,1,Undef,Undef,0,1800,1,0,0,100668299,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,4,"Float, SingleStat, Multiplicative",1.1,RegenUpYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Rejuvenation Self I,54,Increases the rate at which the caster regains Stamina by 10%.,1,1,0,0,15,0,0,0,0,0,StaminaAccelerating,0.01,0,1,1,Undef,Undef,0,1800,1,0,0,100668299,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,4,"Float, SingleStat, Multiplicative",1.1,RegenUpYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,1800
Acid Stream I,58,Shoots a stream of acid at the target. The stream does 16-31 points of acid damage to the first thing it hits.,1,1,16,15,5,30,0.7,0,0,0,AcidMissile,0.01,0,0,1,Acid,Undef,0,0,1,0,0,100668334,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,16,31,None,0,0,0,0,0,Projectile,Creature,FALSE,1,0,0,00000001 [0 0 0],25,1,0,0,WarMagic,Invalid,1,Undef,0,1,0,0,Undef,0,Invalid,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,1633,0
Acid Stream II,59,Shoots a stream of acid at the target. The stream does 26-52 points of acid damage to the first thing it hits.,2,50,26,26,10,30,0.6,0,0,0,AcidMissile,0.05,0,0,1,Acid,Undef,0,0,1,0,0,100668334,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,26,52,None,0,0,0,0,0,Projectile,Creature,FALSE,1,0,0,00000001 [0 0 0],50,1,0,0,WarMagic,Invalid,1,Undef,0,1,0,0,Undef,0,Invalid,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,1633,0
Acid Stream III,60,Shoots a stream of acid at the target. The stream does 42-84 points of acid damage to the first thing it hits.,3,100,42,42,15,30,0.5,0,0,0,AcidMissile,0.1,0,0,1,Acid,Undef,0,0,1,0,0,100668334,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,42,84,None,0,0,0,0,0,Projectile,Creature,FALSE,1,0,0,00000001 [0 0 0],100,1,0,0,WarMagic,Invalid,1,Undef,0,1,0,0,Undef,0,Invalid,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,1633,0
Acid Stream IV,61,Shoots a stream of acid at the target. The stream does 52-105 points of acid damage to the first thing it hits.,4,150,52,53,20,30,0.4,0,0,0,AcidMissile,0.15,0,0,1,Acid,Undef,0,0,1,0,0,100668334,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,52,105,None,0,0,0,0,0,Projectile,Creature,FALSE,1,0,0,00000001 [0 0 0],150,1,0,0,WarMagic,Invalid,1,Undef,0,1,0,0,Undef,0,Invalid,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,1633,0
Acid Stream V,62,Shoots a stream of acid at the target. The stream does 68-136 points of acid damage to the first thing it hits.,5,200,68,68,25,30,0.3,0,0,0,AcidMissile,0.2,0,0,1,Acid,Undef,0,0,1,0,0,100668334,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,68,136,None,0,0,0,0,0,Projectile,Creature,FALSE,1,0,0,00000001 [0 0 0],200,1,0,0,WarMagic,Invalid,1,Undef,0,1,0,0,Undef,0,Invalid,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,1633,0
Acid Stream VI,63,Shoots a stream of acid at the target. The stream does 84-168 points of acid damage to the first thing it hits.,6,250,84,84,30,30,0.2,0,0,0,AcidMissile,0.3,0,0,1,Acid,Undef,0,0,1,0,0,100668334,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,84,168,None,0,0,0,0,0,Projectile,Creature,FALSE,1,0,0,00000001 [0 0 0],250,1,0,0,WarMagic,Invalid,1,Undef,0,1,0,0,Undef,0,Invalid,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,1633,0
